CAINC4 Personal income and employment by major component
CAINC4 Personal income and employment by major component
County
GeoFips,GeoName,LineCode,Description,2020,2021,2022
01001,"Autauga, AL",,Income by place of residence,,,
01001,"Autauga, AL",10,Personal income (thousands of dollars),2659457,2896204,2951555
01001,"Autauga, AL",20,Population (persons) 3,58902,59210,59759
01003,"Baldwin, AL",,Income by place of residence,,,
01003,"Baldwin, AL",10,Personal income (thousands of dollars),11947762,13371784,13984484
01003,"Baldwin, AL",20,Population (persons) 3,233219,239361,246435
01005,"Barbour, AL",,Income by place of residence,,,
01005,"Barbour, AL",10,Personal income (thousands of dollars),926302,1001067,1002082
01005,"Barbour, AL",20,Population (persons) 3,24960,24539,24706
01007,"Bibb, AL",,Income by place of residence,,,
01007,"Bibb, AL",10,Personal income (thousands of dollars),775032,831602,825481
01007,"Bibb, AL",20,Population (persons) 3,22183,22370,22005
01009,"Blount, AL",,Income by place of residence,,,
01009,"Blount, AL",10,Personal income (thousands of dollars),2253760,2531922,2603321
01009,"Blount, AL",20,Population (persons) 3,59102,59085,59512
01011,"Bullock, AL",,Income by place of residence,,,
01011,"Bullock, AL",10,Personal income (thousands of dollars),313972,338240,320278
01011,"Bullock, AL",20,Population (persons) 3,10296,10280,10202
01013,"Butler, AL",,Income by place of residence,,,
01013,"Butler, AL",10,Personal income (thousands of dollars),752367,852499,874977
01013,"Butler, AL",20,Population (persons) 3,19031,18855,18650
01015,"Calhoun, AL",,Income by place of residence,,,
01015,"Calhoun, AL",10,Personal income (thousands of dollars),4601998,4979361,4924818
01015,"Calhoun, AL",20,Population (persons) 3,116239,115677,115788
01017,"Chambers, AL",,Income by place of residence,,,
01017,"Chambers, AL",10,Personal income (thousands of dollars),1255880,1340950,1325192
01017,"Chambers, AL",20,Population (persons) 3,34645,34446,34088
01019,"Cherokee, AL",,Income by place of residence,,,
01019,"Cherokee, AL",10,Personal income (thousands of dollars),998154,1116709,1135638
01019,"Cherokee, AL",20,Population (persons) 3,24972,25026,25302
01021,"Chilton, AL",,Income by place of residence,,,
