SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1
State or DC
GeoFips,GeoName,LineCode,Description,2020,2021,2022
01000,Alabama,1,Per capita personal consumption expenditures,34878,39174,42391
01000,Alabama,2,"  Goods",13131,15275,16468
01000,Alabama,3,"    Durable goods",4247,5186,5500
01000,Alabama,4,"      Motor vehicles and parts",1769,2277,2352
01000,Alabama,5,"      Furnishings and durable household equipment",989,1126,1201
01000,Alabama,6,"      Recreational goods and vehicles",1009,1190,1336
01000,Alabama,7,"      Other durable goods",480,593,611
01000,Alabama,8,"    Nondurable goods",8883,10088,10968
01000,Alabama,9,"      Food and beverages purchased for off-premises consumption",3196,3495,3708
01000,Alabama,10,"      Clothing and footwear",976,1221,1285
01000,Alabama,11,"      Gasoline and other energy goods",805,1242,1643
01000,Alabama,12,"      Other nondurable goods",3906,4131,4331
01000,Alabama,13,"  Services",21747,23899,25923
01000,Alabama,14,"    Household consumption expenditures (for services)",21099,23412,25297
01000,Alabama,15,"      Housing and utilities",6173,6543,7082
01000,Alabama,16,"      Health care",5987,6678,7032
01000,Alabama,17,"      Transportation services",691,835,986
01000,Alabama,18,"      Recreation services",864,1049,1194
01000,Alabama,19,"      Food services and accommodations",2017,2539,2938
01000,Alabama,20,"      Financial services and insurance",2448,2584,2657
01000,Alabama,21,"      Other services",2919,3184,3410
01000,Alabama,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",648,486,626
01000,Alabama,23,"      Gross output of nonprofit institutions",3620,3853,4135
01000,Alabama,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",2972,3367,3508
02000,Alaska,1,Per capita personal consumption expenditures,47762,53982,59179
02000,Alaska,2,"  Goods",14633,16558,17751
02000,Alaska,3,"    Durable goods",5925,7104,7491
02000,Alaska,4,"      Motor vehicles and parts",1885,2237,2289
02000,Alaska,5,"      Furnishings and durable household equipment",1253,1450,1537
02000,Alaska,6,"      Recreational goods and vehicles",2218,2677,2883
02000,Alaska,7,"      Other durable goods",569,740,782
02000,Alaska,8,"    Nondurable goods",8707,9454,10261
02000,Alaska,9,"      Food and beverages purchased for off-premises consumption",4233,4351,4641
02000,Alaska,10,"      Clothing and footwear",840,1049,1118
02000,Alaska,11,"      Gasoline and other energy goods",633,884,1141
02000,Alaska,12,"      Other nondurable goods",3002,3169,3361
02000,Alaska,13,"  Services",33130,37424,41428
02000,Alaska,14,"    Household consumption expenditures (for services)",30348,34608,38299
02000,Alaska,15,"      Housing and utilities",7817,8538,9189
02000,Alaska,16,"      Health care",9755,10877,11813
02000,Alaska,17,"      Transportation services",1455,1956,2430
02000,Alaska,18,"      Recreation services",1912,2414,2881
02000,Alaska,19,"      Food services and accommodations",2928,3845,4624
02000,Alaska,20,"      Financial services and insurance",3000,3098,3238
02000,Alaska,21,"      Other services",3479,3879,4124
02000,Alaska,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",2782,2816,3129
02000,Alaska,23,"      Gross output of nonprofit institutions",6553,6991,7645
02000,Alaska,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",3770,4175,4516
04000,Arizona,1,Per capita personal consumption expenditures,40605,46023,50123
04000,Arizona,2,"  Goods",14242,16570,17972
04000,Arizona,3,"    Durable goods",5268,6511,6816
04000,Arizona,4,"      Motor vehicles and parts",1924,2458,2472
04000,Arizona,5,"      Furnishings and durable household equipment",1209,1437,1497
04000,Arizona,6,"      Recreational goods and vehicles",1456,1768,1939
04000,Arizona,7,"      Other durable goods",678,849,908
04000,Arizona,8,"    Nondurable goods",8974,10059,11156
04000,Arizona,9,"      Food and beverages purchased for off-premises consumption",3438,3591,3836
04000,Arizona,10,"      Clothing and footwear",1036,1310,1402
04000,Arizona,11,"      Gasoline and other energy goods",754,1114,1486
04000,Arizona,12,"      Other nondurable goods",3745,4044,4431
04000,Arizona,13,"  Services",26363,29453,32151
04000,Arizona,14,"    Household consumption expenditures (for services)",25616,28806,31343
04000,Arizona,15,"      Housing and utilities",8163,8760,9580
04000,Arizona,16,"      Health care",6285,6935,7188
04000,Arizona,17,"      Transportation services",1176,1634,2088
04000,Arizona,18,"      Recreation services",1514,1815,2010
04000,Arizona,19,"      Food services and accommodations",2579,3269,3788
04000,Arizona,20,"      Financial services and insurance",2641,2874,2984
04000,Arizona,21,"      Other services",3257,3519,3705
04000,Arizona,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",748,647,808
04000,Arizona,23,"      Gross output of nonprofit institutions",3621,3846,4054
04000,Arizona,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",2874,3198,3246
05000,Arkansas,1,Per capita personal consumption expenditures,34979,39231,42245
05000,Arkansas,2,"  Goods",12597,14668,15702
05000,Arkansas,3,"    Durable goods",4185,5036,5212
05000,Arkansas,4,"      Motor vehicles and parts",1637,2056,2076
05000,Arkansas,5,"      Furnishings and durable household equipment",1050,1226,1283
05000,Arkansas,6,"      Recreational goods and vehicles",1097,1248,1329
05000,Arkansas,7,"      Other durable goods",401,505,524
05000,Arkansas,8,"    Nondurable goods",8412,9632,10490
05000,Arkansas,9,"      Food and beverages purchased for off-premises consumption",3023,3288,3461
05000,Arkansas,10,"      Clothing and footwear",1011,1287,1358
05000,Arkansas,11,"      Gasoline and other energy goods",1012,1522,1967
05000,Arkansas,12,"      Other nondurable goods",3366,3534,3704
05000,Arkansas,13,"  Services",22382,24563,26543
05000,Arkansas,14,"    Household consumption expenditures (for services)",21048,23274,25106
05000,Arkansas,15,"      Housing and utilities",5817,6224,6670
05000,Arkansas,16,"      Health care",6314,6974,7482
05000,Arkansas,17,"      Transportation services",683,798,913
05000,Arkansas,18,"      Recreation services",812,977,1073
05000,Arkansas,19,"      Food services and accommodations",1812,2281,2618
05000,Arkansas,20,"      Financial services and insurance",3196,3392,3467
05000,Arkansas,21,"      Other services",2414,2629,2883
05000,Arkansas,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1334,1289,1437
05000,Arkansas,23,"      Gross output of nonprofit institutions",4299,4619,5018
05000,Arkansas,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",2965,3330,3581
06000,California,1,Per capita personal consumption expenditures,47720,54838,60272
06000,California,2,"  Goods",14069,16813,18511
06000,California,3,"    Durable goods",4760,6013,6451
06000,California,4,"      Motor vehicles and parts",1281,1702,1802
06000,California,5,"      Furnishings and durable household equipment",1113,1372,1481
06000,California,6,"      Recreational goods and vehicles",1693,2064,2212
06000,California,7,"      Other durable goods",674,875,956
06000,California,8,"    Nondurable goods",9308,10799,12060
06000,California,9,"      Food and beverages purchased for off-premises consumption",3801,4160,4534
06000,California,10,"      Clothing and footwear",1385,1780,1971
06000,California,11,"      Gasoline and other energy goods",718,1095,1442
06000,California,12,"      Other nondurable goods",3405,3764,4113
06000,California,13,"  Services",33651,38026,41761
06000,California,14,"    Household consumption expenditures (for services)",31922,36314,39761
06000,California,15,"      Housing and utilities",9792,10427,11262
06000,California,16,"      Health care",7829,8870,9335
06000,California,17,"      Transportation services",1447,1833,2201
06000,California,18,"      Recreation services",1802,2269,2726
06000,California,19,"      Food services and accommodations",3110,4061,4828
06000,California,20,"      Financial services and insurance",3827,4100,4193
06000,California,21,"      Other services",4115,4756,5216
06000,California,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1730,1712,2000
06000,California,23,"      Gross output of nonprofit institutions",5952,6473,6972
06000,California,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",4222,4761,4972
08000,Colorado,1,Per capita personal consumption expenditures,47355,54126,59371
08000,Colorado,2,"  Goods",16195,18698,20424
08000,Colorado,3,"    Durable goods",6109,7333,7829
08000,Colorado,4,"      Motor vehicles and parts",1811,2244,2353
08000,Colorado,5,"      Furnishings and durable household equipment",1395,1656,1775
08000,Colorado,6,"      Recreational goods and vehicles",2228,2585,2787
08000,Colorado,7,"      Other durable goods",675,848,915
08000,Colorado,8,"    Nondurable goods",10085,11365,12595
08000,Colorado,9,"      Food and beverages purchased for off-premises consumption",4193,4394,4781
08000,Colorado,10,"      Clothing and footwear",1210,1558,1690
08000,Colorado,11,"      Gasoline and other energy goods",788,1153,1517
08000,Colorado,12,"      Other nondurable goods",3894,4260,4607
08000,Colorado,13,"  Services",31160,35428,38947
08000,Colorado,14,"    Household consumption expenditures (for services)",29990,34344,37637
08000,Colorado,15,"      Housing and utilities",9572,10587,11466
08000,Colorado,16,"      Health care",6568,7304,7695
08000,Colorado,17,"      Transportation services",1454,1824,2214
08000,Colorado,18,"      Recreation services",2054,2522,2878
08000,Colorado,19,"      Food services and accommodations",3171,4076,4839
08000,Colorado,20,"      Financial services and insurance",3405,3663,3749
08000,Colorado,21,"      Other services",3766,4369,4797
08000,Colorado,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1170,1084,1310
08000,Colorado,23,"      Gross output of nonprofit institutions",4651,4927,5320
08000,Colorado,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",3481,3843,4010
09000,Connecticut,1,Per capita personal consumption expenditures,51237,56371,60413
09000,Connecticut,2,"  Goods",15288,17366,18518
09000,Connecticut,3,"    Durable goods",5213,6180,6472
09000,Connecticut,4,"      Motor vehicles and parts",1576,1864,1948
09000,Connecticut,5,"      Furnishings and durable household equipment",1321,1540,1622
09000,Connecticut,6,"      Recreational goods and vehicles",1638,1904,2018
09000,Connecticut,7,"      Other durable goods",678,871,884
09000,Connecticut,8,"    Nondurable goods",10075,11186,12046
09000,Connecticut,9,"      Food and beverages purchased for off-premises consumption",3895,4124,4341
09000,Connecticut,10,"      Clothing and footwear",1138,1454,1534
09000,Connecticut,11,"      Gasoline and other energy goods",644,937,1221
09000,Connecticut,12,"      Other nondurable goods",4398,4671,4950
09000,Connecticut,13,"  Services",35949,39005,41895
09000,Connecticut,14,"    Household consumption expenditures (for services)",33384,36602,39269
09000,Connecticut,15,"      Housing and utilities",9499,9804,10518
09000,Connecticut,16,"      Health care",8084,8852,9243
09000,Connecticut,17,"      Transportation services",1238,1702,2190
09000,Connecticut,18,"      Recreation services",1807,2180,2413
09000,Connecticut,19,"      Food services and accommodations",2458,3153,3671
09000,Connecticut,20,"      Financial services and insurance",5376,5511,5367
09000,Connecticut,21,"      Other services",4921,5400,5867
09000,Connecticut,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",2565,2403,2626
09000,Connecticut,23,"      Gross output of nonprofit institutions",8114,8443,8855
09000,Connecticut,24,"      Less: Receipts from sales of goods and services by nonprofit institutions",5549,6039,6229
10000,Delaware,1,Per capita personal consumption expenditures,45032,50700,54532
10000,Delaware,2,"  Goods",14604,17000,18131
10000,Delaware,3,"    Durable goods",5279,6353,6616
10000,Delaware,4,"      Motor vehicles and parts",1990,2377,2377
10000,Delaware,5,"      Furnishings and durable household equipment",1208,1450,1529
10000,Delaware,6,"      Recreational goods and vehicles",1369,1629,1800
10000,Delaware,7,"      Other durable goods",711,896,910
10000,Delaware,8,"    Nondurable goods",9325,10647,11515
10000,Delaware,9,"      Food and beverages purchased for off-premises consumption",3691,3924,4173
10000,Delaware,10,"      Clothing and footwear",1128,1433,1462
10000,Delaware,11,"      Gasoline and other energy goods",909,1433,1824
10000,Delaware,12,"      Other nondurable goods",3597,3858,4056
10000,Delaware,13,"  Services",30428,33700,36402
10000,Delaware,14,"    Household consumption expenditures (for services)",29029,32379,34945
10000,Delaware,15,"      Housing and utilities",8325,9004,9567
10000,Delaware,16,"      Health care",8539,9463,10301
10000,Delaware,17,"      Transportation services",840,1110,1389
10000,Delaware,18,"      Recreation services",1269,1501,1652
10000,Delaware,19,"      Food services and accommodations",2657,3454,3883
10000,Delaware,20,"      Financial services and insurance",3189,3306,3330
10000,Delaware,21,"      Other services",4210,4541,4824
10000,Delaware,22,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1399,1321,1456
10000,Delaware,23,"      Gross output of nonprofit institutions",4639,4928,5321
