"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1026","53","0","2022","A","",29,537,18166790,0,0,651,33830,"",1.53,0.89,0.64,0.00,0.00,0.72,0.72,"",1,3.6,-16,-2.9,3544222,24.2,0,0.0,0,0.0,143,28.1,7392,28.0
"01000","2","1026","53","0","2022","A","",14,255,10437105,0,0,787,40930,"",1.16,1.04,1.22,0.00,0.00,1.17,1.17,"",1,7.7,6,2.4,995105,10.5,0,0.0,0,0.0,58,8.0,3023,8.0
"01000","3","1026","53","0","2022","A","",178,4220,175485533,21191491,190433,800,41586,"",2.96,0.86,1.08,1.26,1.10,1.26,1.26,"",-4,-2.2,158,3.9,20677575,13.4,18946,0.1,-83774,-30.6,67,9.1,3472,9.1
"01000","5","1026","53","0","2022","A","",12136,197631,4356891220,1909752295,23115832,424,22046,"",1.00,0.93,0.82,1.04,1.06,0.88,0.88,"",475,4.1,8689,4.6,454365227,11.6,120415156,6.7,-3071748,-11.7,27,6.8,1391,6.7
"01001","2","1026","73","0","2022","A","",1,5,186926,0,0,731,38019,"",12.14,3.58,4.72,0.00,0.00,1.34,1.34,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","1026","73","0","2022","A","N",1,0,0,0,0,0,0,"N",2.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1026","73","0","2022","A","",89,1566,28479894,12972409,128393,350,18185,"",1.08,1.30,1.16,1.38,1.11,0.89,0.89,"",-1,-1.1,39,2.6,2073692,7.9,875269,7.2,-37549,-22.6,17,5.1,891,5.2
"01003","2","1026","73","0","2022","A","",1,9,322041,0,0,682,35454,"",1.59,0.93,1.16,0.00,0.00,1.24,1.24,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","1026","73","0","2022","A","N",1,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1026","73","0","2022","A","",823,15238,420586099,161074958,1865926,531,27601,"",1.31,1.82,2.44,2.07,2.16,1.34,1.34,"",21,2.6,212,1.4,31961613,8.2,6207082,4.0,-406319,-17.9,34,6.8,1737,6.7
