county_fips,year,bea_total_income,population
1001,2020,2659457000,58902
1001,2021,2896204000,59210
1001,2022,2951555000,59759
1003,2020,11947762000,233219
1003,2021,13371784000,239361
1003,2022,13984484000,246435
1005,2020,926302000,24960
1005,2021,1001067000,24539
1005,2022,1002082000,24706
1007,2020,775032000,22183
1007,2021,831602000,22370
1007,2022,825481000,22005
1009,2020,2253760000,59102
1009,2021,2531922000,59085
1009,2022,2603321000,59512
1011,2020,313972000,10296
1011,2021,338240000,10280
1011,2022,320278000,10202
1013,2020,752367000,19031
1013,2021,852499000,18855
1013,2022,874977000,18650
1015,2020,4601998000,116239
1015,2021,4979361000,115677
1015,2022,4924818000,115788
1017,2020,1255880000,34645
1017,2021,1340950000,34446
1017,2022,1325192000,34088
1019,2020,998154000,24972
1019,2021,1116709000,25026
1019,2022,1135638000,25302
1021,2020,1735895000,45051
1021,2021,1901425000,45259
1021,2022,1937737000,45884
1023,2020,511455000,12619
1023,2021,543231000,12549
1023,2022,577667000,12439
1025,2020,947607000,22981
1025,2021,1017276000,22715
1025,2022,1017200000,22515
1027,2020,498363000,14211
1027,2021,550148000,14190
1027,2022,566161000,14198
1029,2020,571310000,15063
1029,2021,647993000,15148
1029,2022,678830000,15346
1031,2020,2411713000,53547
1031,2021,2710078000,54171
1031,2022,2780219000,54805
1033,2020,2294959000,57299
1033,2021,2522700000,57619
1033,2022,2557002000,58033
1035,2020,428621000,11553
1035,2021,458091000,11320
1035,2022,452451000,11206
1037,2020,372279000,10341
1037,2021,399089000,10366
1037,2022,402750000,10166
1039,2020,1422508000,37507
1039,2021,1564704000,37542
1039,2022,1562086000,37602
1041,2020,525744000,13165
1041,2021,595160000,13056
1041,2022,623658000,13025
1043,2020,3717435000,88131
1043,2021,4190757000,89618
1043,2022,4453657000,90665
1045,2020,1983112000,49253
1045,2021,2179098000,49412
1045,2022,2178403000,49544
1047,2020,1499041000,38174
1047,2021,1583677000,37565
1047,2022,1537291000,36767
1049,2020,2478755000,71648
1049,2021,2878038000,71829
1049,2022,2920072000,71998
1051,2020,3921440000,87853
1051,2021,4298599000,88737
1051,2022,4394906000,89563
1053,2020,1334403000,36680
1053,2021,1457874000,36658
1053,2022,1424022000,36666
1055,2020,4097213000,103447
1055,2021,4390748000,103139
1055,2022,4427730000,103088
1057,2020,624163000,16330
1057,2021,676738000,16155
1057,2022,677542000,16118
1059,2020,1170652000,32075
1059,2021,1281396000,31996
1059,2022,1343049000,31932
1061,2020,1019276000,26696
1061,2021,1113896000,26667
1061,2022,1105684000,26783
1063,2020,282090000,7702
1063,2021,301103000,7592
1063,2022,282808000,7422
1065,2020,608503000,14768
1065,2021,652744000,14737
1065,2022,630777000,14595
1067,2020,816757000,17175
1067,2021,897658000,17434
1067,2022,918858000,17655
1069,2020,5077303000,107286
1069,2021,5503234000,107453
1069,2022,5522370000,108079
1071,2020,2044238000,52545
1071,2021,2269063000,52694
1071,2022,2288835000,52891
1073,2020,39180917000,674675
1073,2021,42883620000,669997
1073,2022,44146370000,665409
1075,2020,513477000,13956
1075,2021,543900000,13740
1075,2022,537237000,13705
1077,2020,3967729000,94025
1077,2021,4224245000,94862
1077,2022,4324777000,95878
1079,2020,1221548000,33089
1079,2021,1393865000,33123
1079,2022,1379110000,33214
1081,2020,7221431000,174742
1081,2021,8002677000,177655
1081,2022,8440449000,180773
1083,2020,4983548000,104190
1083,2021,5677871000,107381
1083,2022,5982430000,110900
1085,2020,433618000,10273
1085,2021,469355000,9926
1085,2022,455991000,9777
1087,2020,677119000,19473
1087,2021,717400000,18906
1087,2022,706110000,18516
1089,2020,21971488000,390502
1089,2021,23874287000,396593
1089,2022,24719104000,403565
1091,2020,843654000,19266
1091,2021,888074000,18961
1091,2022,877241000,18745
1093,2020,1082048000,29166
1093,2021,1196892000,29006
1093,2022,1234162000,29156
1095,2020,4019939000,97696
1095,2021,4453479000,98316
1095,2022,4562769000,99423
1097,2020,17575062000,414353
1097,2021,19565291000,413017
1097,2022,19577510000,411411
1099,2020,763078000,19704
1099,2021,823450000,19557
1099,2022,798999000,19404
1101,2020,10529239000,228322
1101,2021,11158054000,226953
1101,2022,11136712000,226361
1103,2020,5279542000,123288
1103,2021,5707082000,123403
1103,2022,5738903000,124211
1105,2020,318879000,8458
1105,2021,332635000,8317
