county_fips,year,bls_labor_force,bls_employed
1001,2020,26350,24955
1003,2020,98695,92639
1005,2020,8659,7995
1007,2020,8692,8063
1009,2020,25065,23944
1011,2020,4866,4577
1013,2020,9211,8335
1015,2020,46910,43315
1017,2020,16055,14866
1019,2020,11649,11060
1021,2020,19894,18817
1023,2020,4686,4345
1025,2020,7875,7108
1027,2020,6128,5858
1029,2020,5840,5549
1031,2020,21963,20913
1033,2020,23837,22125
1035,2020,4570,4209
1037,2020,4418,4151
1039,2020,15308,14483
1041,2020,6357,5964
1043,2020,38785,36947
1045,2020,20883,19769
1047,2020,14791,13076
1049,2020,31225,29685
1051,2020,37583,35614
1053,2020,14569,13595
1055,2020,41310,37867
1057,2020,6650,6286
1059,2020,14537,13827
1061,2020,11007,10508
1063,2020,3084,2725
1065,2020,6147,5522
1067,2020,6894,6527
1069,2020,47116,44343
1071,2020,23039,21700
1073,2020,319645,298089
1075,2020,5775,5467
1077,2020,42555,39978
1079,2020,14497,13719
1081,2020,76367,72003
1083,2020,45800,43673
1085,2020,3710,3178
1087,2020,8162,7318
1089,2020,189236,179653
1091,2020,7845,7310
1093,2020,13262,12530
1095,2020,44695,42649
1097,2020,194559,177944
1099,2020,7605,6935
1101,2020,108049,98928
1103,2020,59616,56703
1105,2020,3442,3035
1107,2020,7670,7120
1109,2020,15806,14958
1111,2020,9551,9052
1113,2020,23767,22420
1115,2020,41303,39102
1117,2020,117653,112759
1119,2020,4768,4405
1121,2020,36349,33565
1123,2020,18161,16802
1125,2020,103541,96111
1127,2020,25153,23555
1129,2020,6803,6212
1131,2020,2909,2446
1133,2020,10248,9722
2013,2020,2508,2404
2016,2020,3826,3645
2020,2020,147063,135425
2050,2020,6982,6120
2060,2020,393,362
2063,2020,3249,2967
2066,2020,1291,1152
2068,2020,647,534
2070,2020,1720,1567
2090,2020,44532,41534
2100,2020,1023,855
2105,2020,1056,907
2110,2020,16287,15139
2122,2020,26615,24064
2130,2020,6477,5813
2150,2020,6058,5653
2158,2020,2288,1811
2164,2020,613,542
2170,2020,48358,44112
2180,2020,3937,3500
2185,2020,3158,2963
2188,2020,2938,2563
2195,2020,1431,1300
2198,2020,2835,2556
2220,2020,4116,3815
2230,2020,642,503
2240,2020,2943,2714
2275,2020,956,867
2282,2020,279,255
2290,2020,2334,2037
4001,2020,19585,17107
4003,2020,50273,46793
4005,2020,72320,65377
4007,2020,20433,18884
4009,2020,15470,14506
4011,2020,4324,4094
4012,2020,8757,8140
4013,2020,2266436,2100745
4015,2020,86304,77778
4017,2020,39347,35406
4019,2020,481338,444682
4021,2020,188749,174818
4023,2020,18862,16724
4025,2020,103882,96224
4027,2020,95258,78941
5001,2020,9269,8891
5003,2020,7057,6386
5005,2020,16289,15297
5007,2020,141573,135231
5009,2020,15579,14742
5011,2020,4291,4034
5013,2020,2372,2246
5015,2020,12514,11792
5017,2020,3160,2823
5019,2020,9102,8550
5021,2020,5449,5113
5023,2020,9037,8337
5025,2020,3200,3003
5027,2020,8903,8282
5029,2020,8276,7766
5031,2020,55666,52654
5033,2020,26200,24751
5035,2020,20752,18983
5037,2020,7138,6694
5039,2020,2771,2619
5041,2020,5200,4826
5043,2020,7583,7048
5045,2020,61106,57714
5047,2020,7361,6938
5049,2020,4843,4589
5051,2020,41027,37708
5053,2020,8167,7736
5055,2020,19282,18110
5057,2020,9458,8956
5059,2020,13869,13049
5061,2020,5456,5176
5063,2020,16445,15479
5065,2020,4576,4182
5067,2020,5751,5328
5069,2020,26872,24662
5071,2020,9965,9323
5073,2020,2378,2192
5075,2020,6690,6270
5077,2020,2701,2490
5079,2020,3805,3575
5081,2020,5261,4911
5083,2020,8526,7947
5085,2020,33270,31393
5087,2020,7281,6990
5089,2020,6157,5752
5091,2020,19011,17671
5093,2020,16982,15414
5095,2020,2675,2494
5097,2020,2911,2705
5099,2020,3484,3274
5101,2020,3131,2968
5103,2020,9668,9072
5105,2020,4072,3839
5107,2020,6196,5617
5109,2020,4196,3942
5111,2020,9638,9091
5113,2020,7866,7330
5115,2020,27387,25735
5117,2020,3551,3357
5119,2020,186410,172305
5121,2020,7320,6877
5123,2020,7886,7251
5125,2020,57931,54956
5127,2020,4272,4077
5129,2020,2827,2642
5131,2020,55436,52065
5133,2020,5446,5122
5135,2020,5618,5208
5137,2020,4545,4216
5139,2020,15352,14046
5141,2020,5672,5259
5143,2020,125428,119568
5145,2020,33449,31311
5147,2020,2777,2612
5149,2020,7794,7387
6001,2020,818093,745114
6003,2020,514,454
6005,2020,14474,13118
6007,2020,93234,84510
6009,2020,21353,19688
