county_fips,industry_code,year,bls_annual_establishments,bls_annual_employment,bls_total_annual_wages
1001,1011,2020,24,182,11363434
1003,1011,2020,77,773,33427148
1005,1011,2020,28,267,14071797
1007,1011,2020,14,71,2933131
1009,1011,2020,13,79,2515672
1011,1011,2020,16,0,0
1013,1011,2020,26,198,9713534
1015,1011,2020,28,232,12283988
1017,1011,2020,23,201,9590091
1019,1011,2020,18,200,6624652
1021,1011,2020,25,127,6009556
1023,1011,2020,25,237,11427034
1025,1011,2020,39,307,15728245
1027,1011,2020,15,60,2322934
1029,1011,2020,12,81,2660655
1031,1011,2020,22,585,23949230
1033,1011,2020,18,152,9162290
1035,1011,2020,26,195,9942785
1037,1011,2020,5,31,1377150
1039,1011,2020,31,171,7768350
1041,1011,2020,22,161,7441246
1043,1011,2020,35,396,16168548
1045,1011,2020,16,80,3482338
1047,1011,2020,29,182,8680209
1049,1011,2020,34,375,14831099
1051,1011,2020,24,222,11231420
1053,1011,2020,34,372,22351751
1055,1011,2020,6,33,2121194
1057,1011,2020,28,175,6207449
1059,1011,2020,17,134,5985605
1061,1011,2020,37,398,15548549
1063,1011,2020,11,32,1221435
1065,1011,2020,36,214,8762729
1067,1011,2020,29,300,13139298
1069,1011,2020,26,185,8318129
1071,1011,2020,18,62,2045770
1073,1011,2020,49,1755,170497171
1075,1011,2020,14,62,2619394
1077,1011,2020,26,182,8246025
1079,1011,2020,22,173,7857824
1081,1011,2020,27,376,26567873
1083,1011,2020,30,426,20848311
1085,1011,2020,18,134,5471725
1087,1011,2020,8,0,0
1089,1011,2020,38,419,39842120
1091,1011,2020,22,364,17394293
1093,1011,2020,15,89,3190514
1095,1011,2020,15,209,12506350
1097,1011,2020,101,752,39264438
1099,1011,2020,42,255,15988022
1101,1011,2020,32,129,6946883
1103,1011,2020,24,161,8747514
1105,1011,2020,6,34,1215924
1107,1011,2020,28,217,9662543
1109,1011,2020,19,140,5966489
1111,1011,2020,17,120,5301969
1113,1011,2020,18,92,3406945
1115,1011,2020,13,73,3487550
1117,1011,2020,39,460,32426979
1119,1011,2020,11,58,2263070
1121,1011,2020,18,454,29997440
1123,1011,2020,21,77,4164667
1125,1011,2020,74,1638,140031490
1127,1011,2020,43,363,18782612
1129,1011,2020,34,223,9655848
1131,1011,2020,15,84,3625392
1133,1011,2020,10,317,11076101
1999,1011,2020,96,396,33774261
2013,1011,2020,2,0,0
2016,1011,2020,8,37,4459143
2020,1011,2020,98,2429,504883961
2050,1011,2020,1,0,0
2060,1011,2020,4,8,709185
2063,1011,2020,29,116,7728842
2066,1011,2020,1,0,0
2068,1011,2020,3,0,0
2070,1011,2020,1,0,0
2090,1011,2020,57,1079,93679044
2100,1011,2020,3,0,0
2105,1011,2020,1,0,0
2110,1011,2020,17,875,102045889
2122,1011,2020,80,896,105980901
2130,1011,2020,18,70,3826227
2150,1011,2020,38,139,11326432
2164,1011,2020,1,0,0
2170,1011,2020,61,242,8770878
2180,1011,2020,9,0,0
2185,1011,2020,29,4995,736969619
2188,1011,2020,4,0,0
2195,1011,2020,8,23,1432932
2198,1011,2020,17,156,11464004
2220,1011,2020,9,59,2353514
2240,1011,2020,17,587,76314571
2275,1011,2020,4,0,0
2282,1011,2020,1,0,0
2290,1011,2020,10,0,0
2999,1011,2020,25,74,11430189
4001,1011,2020,11,129,6245629
4003,1011,2020,72,1132,46556477
4005,1011,2020,30,129,4885825
4007,1011,2020,16,891,68948514
4009,1011,2020,17,1551,105839874
4011,1011,2020,6,0,0
4012,1011,2020,29,532,22772720
4013,1011,2020,464,7597,492085631
4015,1011,2020,32,494,25288747
4017,1011,2020,27,699,33260751
4019,1011,2020,92,2446,176049070
4021,1011,2020,173,3384,181368046
4023,1011,2020,28,579,21586001
4025,1011,2020,82,1550,102236927
4027,1011,2020,243,11059,413399408
4999,1011,2020,42,0,0
5001,1011,2020,66,182,7222336
5003,1011,2020,46,341,14970325
5005,1011,2020,8,57,2448556
5007,1011,2020,50,812,61178326
5009,1011,2020,5,5,191963
5011,1011,2020,41,206,9068024
5013,1011,2020,6,32,1377579
5015,1011,2020,22,277,11666393
5017,1011,2020,55,230,9487985
5019,1011,2020,49,296,13164823
5021,1011,2020,50,233,7989810
5023,1011,2020,19,164,10433849
5025,1011,2020,15,145,5971539
5027,1011,2020,45,370,22847153
5029,1011,2020,27,229,9025826
5031,1011,2020,105,386,16304423
5033,1011,2020,23,218,9461767
5035,1011,2020,59,258,9811212
5037,1011,2020,45,278,10526903
5039,1011,2020,22,111,4541321
5041,1011,2020,66,289,10437236
5043,1011,2020,56,386,16730200
5045,1011,2020,39,262,17491776
5047,1011,2020,18,148,11009940
5049,1011,2020,2,0,0
5051,1011,2020,28,184,8294298
5053,1011,2020,27,194,10343177
5055,1011,2020,39,216,8563184
5057,1011,2020,22,254,12759580
5059,1011,2020,26,170,6468389
5061,1011,2020,17,204,8790901
5063,1011,2020,20,266,15167781
5065,1011,2020,7,67,3852780
5067,1011,2020,59,296,11189241
5069,1011,2020,39,131,8174876
5071,1011,2020,13,202,9135387
5073,1011,2020,23,72,1987677
5075,1011,2020,54,188,8400581
5077,1011,2020,37,192,7358147
5079,1011,2020,33,143,5635091
5081,1011,2020,16,66,2428987
5083,1011,2020,22,117,4392632
5085,1011,2020,93,503,22289748
5087,1011,2020,11,53,1918736
5089,1011,2020,2,0,0
5091,1011,2020,31,305,14460792
5093,1011,2020,103,524,22188353
5095,1011,2020,26,104,5671984
5097,1011,2020,8,27,808875
5099,1011,2020,14,52,2973968
5101,1011,2020,4,4,1322485
5103,1011,2020,36,154,6804598
5105,1011,2020,8,74,4099885
5107,1011,2020,62,281,9473038
5109,1011,2020,23,112,5330076
5111,1011,2020,67,292,14556670
5113,1011,2020,23,169,9006179
5115,1011,2020,36,651,29737388
5117,1011,2020,35,170,8908175
5119,1011,2020,54,624,44082365
5121,1011,2020,25,243,12772010
5123,1011,2020,43,0,0
5125,1011,2020,14,60,2537860
5127,1011,2020,18,173,7249258
5129,1011,2020,3,0,0
5131,1011,2020,39,281,24479703
5133,1011,2020,18,168,8115914
5135,1011,2020,5,13,570388
5137,1011,2020,4,9,226455
5139,1011,2020,81,338,17523383
5141,1011,2020,9,82,7820723
5143,1011,2020,39,315,18514240
5145,1011,2020,47,365,21321168
5147,1011,2020,34,177,6441878
5149,1011,2020,26,247,12005112
5999,1011,2020,115,250,17597485
6001,1011,2020,103,808,56925114
6005,1011,2020,52,528,25121397
6007,1011,2020,373,3051,147873053
6009,1011,2020,30,292,8365895
6011,1011,2020,274,2824,127411891
6013,1011,2020,109,863,55391108
6015,1011,2020,63,333,14553815
6017,1011,2020,67,493,22636601
6019,1011,2020,1529,40487,1542436809
6021,1011,2020,253,2464,111381837
6023,1011,2020,283,1573,77644913
6025,1011,2020,290,10746,414053939
6027,1011,2020,15,37,1667922
6029,1011,2020,1032,67103,2892294544
6031,1011,2020,357,7302,315409591
6033,1011,2020,71,992,40339711
6035,1011,2020,36,305,17127493
6037,1011,2020,560,6092,355132009
6039,1011,2020,443,11785,415666746
6041,1011,2020,83,380,16970369
6043,1011,2020,13,43,1115620
6045,1011,2020,243,1668,73963999
6047,1011,2020,759,14199,552594696
6049,1011,2020,59,371,15850747
6051,1011,2020,11,66,2281772
6053,1011,2020,564,54028,2281384011
6055,1011,2020,252,4945,254122309
6057,1011,2020,57,271,13563561
6059,1011,2020,194,2270,114910797
6061,1011,2020,80,487,26452842
6063,1011,2020,22,110,5640561
6065,1011,2020,508,12256,463202947
6067,1011,2020,248,2518,113627638
6069,1011,2020,94,2179,93713163
6071,1011,2020,230,3107,152370574
6073,1011,2020,680,9464,417299452
6075,1011,2020,57,227,21140418
6077,1011,2020,1026,14642,595875745
6079,1011,2020,335,4937,192851195
6081,1011,2020,126,1421,94310286
6083,1011,2020,578,25844,1051864309
6085,1011,2020,203,3256,161460827
6087,1011,2020,269,7985,324394454
6089,1011,2020,102,1139,69419483
6091,1011,2020,7,0,0
6093,1011,2020,124,1124,52138583
6095,1011,2020,152,1897,95624737
6097,1011,2020,567,6433,290609788
6099,1011,2020,938,14494,596889197
6101,1011,2020,494,4304,160544931
6103,1011,2020,166,2007,86498210
6105,1011,2020,14,55,3421709
6107,1011,2020,1252,35136,1196725224
6109,1011,2020,30,217,16120040
6111,1011,2020,592,25893,1023481884
6113,1011,2020,300,5371,255034642
6115,1011,2020,109,882,42597609
6999,1011,2020,191,0,0
8001,1011,2020,120,2262,137970970
8003,1011,2020,38,415,15107350
8005,1011,2020,115,710,99770541
8007,1011,2020,15,57,2465929
8009,1011,2020,15,83,3580681
8011,1011,2020,15,90,3233615
8013,1011,2020,100,782,43044176
8014,1011,2020,9,82,12274273
8015,1011,2020,13,48,1578010
8017,1011,2020,24,127,6994921
8019,1011,2020,9,505,49537710
8021,1011,2020,20,124,4973994
8023,1011,2020,14,130,5900821
8025,1011,2020,7,111,3923975
8027,1011,2020,6,13,471720
8029,1011,2020,74,422,19046326
8031,1011,2020,364,8262,1500119868
8033,1011,2020,7,27,1180707
8035,1011,2020,90,457,34551298
8037,1011,2020,26,89,4806887
8039,1011,2020,26,82,3033002
8041,1011,2020,63,570,29487868
8043,1011,2020,15,91,5669572
8045,1011,2020,92,981,83279612
8047,1011,2020,2,0,0
8049,1011,2020,18,69,3282557
8051,1011,2020,30,433,35253537
8053,1011,2020,2,0,0
8055,1011,2020,9,56,6664836
8057,1011,2020,18,107,5372014
8059,1011,2020,129,962,79472887
8061,1011,2020,8,0,0
8063,1011,2020,30,384,17455676
8065,1011,2020,5,0,0
8067,1011,2020,54,512,61493196
8069,1011,2020,161,1434,69250837
8071,1011,2020,27,273,18623905
8073,1011,2020,7,0,0
8075,1011,2020,55,475,25194817
8077,1011,2020,218,1659,119761206
8081,1011,2020,23,462,43126290
8083,1011,2020,37,201,9559890
8085,1011,2020,72,293,11937174
8087,1011,2020,77,1155,58021785
8089,1011,2020,35,221,8839466
8091,1011,2020,14,125,8782061
8093,1011,2020,14,38,1773624
8095,1011,2020,27,358,14390420
8097,1011,2020,13,119,5475439
8099,1011,2020,38,496,19415166
8101,1011,2020,66,690,25070461
8103,1011,2020,40,551,50977176
8105,1011,2020,69,833,31417521
8107,1011,2020,49,303,19887481
8109,1011,2020,46,359,14607738
8113,1011,2020,8,37,1750644
8115,1011,2020,6,108,5908442
8117,1011,2020,6,103,6272505
8119,1011,2020,12,0,0
8121,1011,2020,24,190,13397916
8123,1011,2020,502,9949,802067470
8125,1011,2020,80,998,49040808
8999,1011,2020,14,0,0
9001,1011,2020,73,518,26853890
9003,1011,2020,91,922,37745222
9005,1011,2020,69,546,21781441
9007,1011,2020,30,402,16409547
9009,1011,2020,61,836,32593848
9011,1011,2020,69,1221,58365394
9013,1011,2020,36,502,20385284
