county_fips,year,bea_total_income,population,bls_labor_force,bls_employed
1001,2020,2659457000,58902,26350,24955
1001,2021,2896204000,59210,26429,25698
1001,2022,2951555000,59759,26656,26065
1003,2020,11947762000,233219,98695,92639
1003,2021,13371784000,239361,99520,96619
1003,2022,13984484000,246435,102280,99930
1005,2020,926302000,24960,8659,7995
1005,2021,1001067000,24539,8243,7787
1005,2022,1002082000,24706,8139,7813
1007,2020,775032000,22183,8692,8063
1007,2021,831602000,22370,8604,8312
1007,2022,825481000,22005,8688,8476
1009,2020,2253760000,59102,25065,23944
1009,2021,2531922000,59085,25268,24674
1009,2022,2603321000,59512,25685,25128
1011,2020,313972000,10296,4866,4577
1011,2021,338240000,10280,4617,4436
1011,2022,320278000,10202,4541,4416
1013,2020,752367000,19031,9211,8335
1013,2021,852499000,18855,8781,8332
1013,2022,874977000,18650,8811,8518
1015,2020,4601998000,116239,46910,43315
1015,2021,4979361000,115677,46166,44307
1015,2022,4924818000,115788,45733,44371
1017,2020,1255880000,34645,16055,14866
1017,2021,1340950000,34446,15722,15155
1017,2022,1325192000,34088,15906,15508
1019,2020,998154000,24972,11649,11060
1019,2021,1116709000,25026,11635,11341
1019,2022,1135638000,25302,11723,11457
1021,2020,1735895000,45051,19894,18817
1021,2021,1901425000,45259,19918,19360
1021,2022,1937737000,45884,20180,19732
1023,2020,511455000,12619,4686,4345
1023,2021,543231000,12549,4547,4351
1023,2022,577667000,12439,4325,4164
1025,2020,947607000,22981,7875,7108
1025,2021,1017276000,22715,7702,7255
1025,2022,1017200000,22515,7676,7302
1027,2020,498363000,14211,6128,5858
1027,2021,550148000,14190,6021,5858
1027,2022,566161000,14198,6106,5971
1029,2020,571310000,15063,5840,5549
1029,2021,647993000,15148,5888,5737
1029,2022,678830000,15346,6133,5989
1031,2020,2411713000,53547,21963,20913
1031,2021,2710078000,54171,21530,20927
1031,2022,2780219000,54805,21624,21090
1033,2020,2294959000,57299,23837,22125
1033,2021,2522700000,57619,23506,22592
1033,2022,2557002000,58033,23749,23047
1035,2020,428621000,11553,4570,4209
1035,2021,458091000,11320,4371,4165
1035,2022,452451000,11206,4252,4106
1037,2020,372279000,10341,4418,4151
1037,2021,399089000,10366,4352,4220
1037,2022,402750000,10166,4463,4353
1039,2020,1422508000,37507,15308,14483
1039,2021,1564704000,37542,15166,14711
1039,2022,1562086000,37602,15080,14692
1041,2020,525744000,13165,6357,5964
1041,2021,595160000,13056,6103,5903
1041,2022,623658000,13025,5965,5805
1043,2020,3717435000,88131,38785,36947
1043,2021,4190757000,89618,38763,37857
1043,2022,4453657000,90665,39477,38688
1045,2020,1983112000,49253,20883,19769
1045,2021,2179098000,49412,20883,20228
1045,2022,2178403000,49544,21026,20490
1047,2020,1499041000,38174,14791,13076
1047,2021,1583677000,37565,13902,12921
1047,2022,1537291000,36767,13733,13058
1049,2020,2478755000,71648,31225,29685
1049,2021,2878038000,71829,30867,30085
1049,2022,2920072000,71998,30958,30249
1051,2020,3921440000,87853,37583,35614
1051,2021,4298599000,88737,37708,36702
1051,2022,4394906000,89563,38045,37230
1053,2020,1334403000,36680,14569,13595
1053,2021,1457874000,36658,14081,13518
1053,2022,1424022000,36666,14198,13769
1055,2020,4097213000,103447,41310,37867
1055,2021,4390748000,103139,39267,37701
1055,2022,4427730000,103088,39123,37967
1057,2020,624163000,16330,6650,6286
1057,2021,676738000,16155,6612,6411
1057,2022,677542000,16118,6583,6408
1059,2020,1170652000,32075,14537,13827
1059,2021,1281396000,31996,14289,13930
1059,2022,1343049000,31932,14532,14200
1061,2020,1019276000,26696,11007,10508
1061,2021,1113896000,26667,11020,10715
1061,2022,1105684000,26783,11187,10925
1063,2020,282090000,7702,3084,2725
1063,2021,301103000,7592,2888,2700
1063,2022,282808000,7422,2757,2641
1065,2020,608503000,14768,6147,5522
1065,2021,652744000,14737,5888,5566
1065,2022,630777000,14595,5940,5714
1067,2020,816757000,17175,6894,6527
1067,2021,897658000,17434,6899,6682
1067,2022,918858000,17655,7003,6817
1069,2020,5077303000,107286,47116,44343
1069,2021,5503234000,107453,46988,45422
1069,2022,5522370000,108079,47661,46452
1071,2020,2044238000,52545,23039,21700
1071,2021,2269063000,52694,22972,22319
1071,2022,2288835000,52891,23233,22666
1073,2020,39180917000,674675,319645,298089
1073,2021,42883620000,669997,318929,307640
1073,2022,44146370000,665409,321927,313808
1075,2020,513477000,13956,5775,5467
1075,2021,543900000,13740,5682,5514
1075,2022,537237000,13705,5711,5561
1077,2020,3967729000,94025,42555,39978
1077,2021,4224245000,94862,42181,40869
1077,2022,4324777000,95878,42754,41654
1079,2020,1221548000,33089,14497,13719
1079,2021,1393865000,33123,14441,14025
1079,2022,1379110000,33214,14691,14346
1081,2020,7221431000,174742,76367,72003
1081,2021,8002677000,177655,76870,74721
1081,2022,8440449000,180773,78872,77053
1083,2020,4983548000,104190,45800,43673
1083,2021,5677871000,107381,46779,45648
1083,2022,5982430000,110900,48438,47454
1085,2020,433618000,10273,3710,3178
1085,2021,469355000,9926,3570,3261
1085,2022,455991000,9777,3486,3309
1087,2020,677119000,19473,8162,7318
1087,2021,717400000,18906,7902,7446
1087,2022,706110000,18516,7824,7533
1089,2020,21971488000,390502,189236,179653
1089,2021,23874287000,396593,193037,188008
1089,2022,24719104000,403565,199682,195558
1091,2020,843654000,19266,7845,7310
1091,2021,888074000,18961,7610,7292
1091,2022,877241000,18745,7626,7374
1093,2020,1082048000,29166,13262,12530
1093,2021,1196892000,29006,13430,13055
1093,2022,1234162000,29156,13786,13452
1095,2020,4019939000,97696,44695,42649
1095,2021,4453479000,98316,44704,43644
1095,2022,4562769000,99423,45445,44538
1097,2020,17575062000,414353,194559,177944
1097,2021,19565291000,413017,189877,181128
1097,2022,19577510000,411411,189712,183641
1099,2020,763078000,19704,7605,6935
1099,2021,823450000,19557,7336,6933
1099,2022,798999000,19404,7267,6976
1101,2020,10529239000,228322,108049,98928
1101,2021,11158054000,226953,106859,101883
1101,2022,11136712000,226361,106639,103432
1103,2020,5279542000,123288,59616,56703
1103,2021,5707082000,123403,59526,58008
1103,2022,5738903000,124211,60647,59410
1105,2020,318879000,8458,3442,3035
1105,2021,332635000,8317,3192,2941
1105,2022,307674000,8035,3071,2914
1107,2020,744224000,18922,7670,7120
1107,2021,795575000,18615,7513,7211
1107,2022,797687000,18697,7658,7415
1109,2020,1347047000,32906,15806,14958
1109,2021,1487372000,32740,16014,15508
1109,2022,1543917000,33014,15988,15559
1111,2020,806492000,22092,9551,9052
1111,2021,924518000,22199,9449,9192
1111,2022,957371000,22479,9628,9397
1113,2020,2123480000,59259,23767,22420
1113,2021,2322303000,58668,23339,22629
1113,2022,2251542000,58555,23359,22759
1115,2020,3980621000,91652,41303,39102
1115,2021,4374641000,92903,41422,40350
1115,2022,4514142000,93932,42036,41134
1117,2020,13278982000,223881,117653,112759
1117,2021,14674268000,227428,118888,116385
1117,2022,15510946000,230115,120856,118695
1119,2020,436901000,12196,4768,4405
1119,2021,465273000,11961,4530,4331
1119,2022,456786000,11853,4568,4411
1121,2020,3080474000,81428,36349,33565
1121,2021,3320410000,80483,35758,34312
1121,2022,3327474000,80704,36207,35115
1123,2020,1842218000,41286,18161,16802
1123,2021,1972411000,41132,17903,17197
1123,2022,1998208000,40977,17517,17028
1125,2020,9061640000,231534,103541,96111
1125,2021,9653895000,235668,101242,97672
1125,2022,9762993000,236780,103171,100623
1127,2020,2791266000,65132,25153,23555
1127,2021,2972551000,64629,25213,24318
1127,2022,3004530000,64339,25457,24772
1129,2020,617100000,15327,6803,6212
1129,2021,667400000,15234,6518,6221
1129,2022,660167000,15122,6514,6282
1131,2020,375180000,10432,2909,2446
1131,2021,408462000,10331,2620,2346
1131,2022,401160000,10059,2529,2337
1133,2020,925106000,23488,10248,9722
1133,2021,995778000,23672,10072,9796
1133,2022,1040110000,23755,10121,9878
2013,2020,195259000,3425,2508,2404
2013,2021,201226000,3424,2433,2373
2013,2022,217059000,3398,2400,2351
2016,2020,326850000,5222,3826,3645
2016,2021,327531000,5155,3502,3368
2016,2022,354746000,5122,3433,3322
2020,2020,19710277000,290866,147063,135425
2020,2021,20881987000,288702,149263,140525
2020,2022,21681255000,287145,149832,144596
2050,2020,853520000,18673,6982,6120
2050,2021,865498000,18599,6848,5959
2050,2022,889120000,18257,6621,6007
2060,2020,115645000,829,393,362
2060,2021,131155000,841,444,419
2060,2022,136277000,865,417,399
2063,2020,434744000,7077,3249,2967
2063,2021,477000000,6943,3165,3087
2063,2022,486137000,6874,3380,3280
2066,2020,128246000,2616,1291,1152
2066,2021,149295000,2611,1241,1200
2066,2022,155928000,2589,1406,1271
2068,2020,142936000,1614,647,534
2068,2021,171779000,1594,807,723
2068,2022,191269000,1585,991,926
2070,2020,278108000,4835,1720,1567
2070,2021,275473000,4774,1680,1541
2070,2022,287650000,4723,1656,1559
2090,2020,5758789000,95328,44532,41534
2090,2021,6232535000,95528,44863,42563
2090,2022,6464225000,95356,45088,43353
2100,2020,158166000,2086,1023,855
2100,2021,163065000,2074,1026,912
2100,2022,176124000,2056,1064,991
2105,2020,130677000,2362,1056,907
2105,2021,137918000,2339,1147,1041
2105,2022,152994000,2287,1248,1176
2110,2020,2275370000,32202,16287,15139
2110,2021,2393279000,31965,16724,15927
2110,2022,2491441000,31685,17267,16765
2122,2020,3290347000,58927,26615,24064
2122,2021,3568705000,59851,27646,25639
2122,2022,3718013000,60690,27944,26624
2130,2020,920562000,13918,6477,5813
2130,2021,953478000,13810,6537,6058
2130,2022,1003045000,13741,6763,6496
2150,2020,854037000,13047,6058,5653
2150,2021,877176000,12864,5947,5557
2150,2022,910664000,12720,5941,5671
2158,2020,273324000,8373,2288,1811
2158,2021,297238000,8398,2351,1895
2158,2022,303572000,8278,2245,1942
2164,2020,84425000,1452,613,542
2164,2021,89975000,1419,652,595
2164,2022,92958000,1381,647,609
2170,2020,5667829000,107515,48358,44112
2170,2021,6113659000,111059,49168,45812
2170,2022,6578302000,113325,49476,47084
2180,2020,540688000,10028,3937,3500
2180,2021,564588000,9908,4019,3630
2180,2022,609392000,9835,4093,3798
2185,2020,838974000,11002,3158,2963
2185,2021,773763000,11011,2893,2706
2185,2022,806608000,10805,2950,2794
2188,2020,382656000,7790,2938,2563
2188,2021,392062000,7560,2853,2527
2188,2022,410390000,7423,2722,2462
2195,2020,234363000,3405,1431,1300
2195,2021,256700000,3373,1600,1488
2195,2022,245791000,3360,1423,1336
2198,2020,295823000,5739,2835,2556
2198,2021,294497000,5734,2772,2547
2198,2022,300429000,5650,2680,2526
2220,2020,571616000,8425,4116,3815
2220,2021,637662000,8410,4437,4234
2220,2022,672672000,8382,4509,4379
2230,2020,71872000,1240,642,503
2230,2021,77059000,1142,638,552
2230,2022,81664000,1081,769,717
2240,2020,363247000,6820,2943,2714
2240,2021,411879000,7005,3205,2993
2240,2022,423797000,7021,3214,3039
2275,2020,120221000,2127,956,867
2275,2021,124196000,2100,937,867
2275,2022,126186000,2070,875,828
2282,2020,40187000,684,279,255
2282,2021,43628000,709,310,288
2282,2022,44826000,700,313,297
2290,2020,307562000,5296,2334,2037
2290,2021,323944000,5280,2419,2123
2290,2022,337133000,5179,2325,2132
4001,2020,2780944000,65911,19585,17107
4001,2021,2995738000,65385,18890,17159
4001,2022,2985841000,65432,18361,16938
4003,2020,5878777000,125522,50273,46793
4003,2021,6218395000,125763,48938,46465
4003,2022,6307666000,125663,48730,46597
4005,2020,7678620000,145180,72320,65377
4005,2021,8067791000,142780,71748,67327
4005,2022,8489905000,144060,73616,70437
4007,2020,2400356000,53351,20433,18884
4007,2021,2635887000,53521,20410,19355
4007,2022,2723317000,53922,20361,19518
4009,2020,1388249000,38638,15470,14506
4009,2021,1516956000,38882,15707,15030
4009,2022,1589220000,38779,16158,15585
4011,2020,411614000,9526,4324,4094
4011,2021,451908000,9377,4358,4177
4011,2022,504346000,9302,4645,4510
4012,2020,766060000,16575,8757,8140
4012,2021,850647000,16391,8609,8149
4012,2022,891281000,16506,8869,8454
4013,2020,248760469000,4440232,2266436,2100745
4013,2021,274211492000,4494693,2317304,2210303
4013,2022,288842282000,4551524,2371901,2293121
4015,2020,8616065000,214176,86304,77778
4015,2021,9280769000,216957,87286,82304
4015,2022,9858399000,220816,89078,85048
4017,2020,4123196000,106762,39347,35406
4017,2021,4531048000,107621,39362,36745
4017,2022,4573766000,108650,39515,37479
4019,2020,51841647000,1045175,481338,444682
4019,2021,55627320000,1048895,482454,457762
4019,2022,57601036000,1057597,486536,468109
4021,2020,17841594000,429446,188749,174818
4021,2021,19975536000,448144,192902,183440
4021,2022,21327852000,464154,198462,190831
4023,2020,2059709000,47705,18862,16724
4023,2021,2263306000,48034,18888,17221
4023,2022,2335466000,48759,18708,17298
