STATE,STATEFP,COUNTYFP,COUNTYNS,COUNTYNAME
KS,20,161,00485044,Riley
IA,19,159,00465268,Ringgold
MT,30,009,01720111,Carbon
ID,16,007,00395090,Bear Lake
WI,55,011,01581065,Buffalo
NE,31,185,00835914,York
CO,08,037,00198134,Eagle
PA,42,129,01209191,Westmoreland
OK,40,079,01101827,Le Flore
TX,48,053,01383812,Burnet
NY,36,017,00974107,Chenango
KS,20,109,00485019,Logan
TN,47,053,01639745,Gibson
MN,27,061,00659476,Itasca
MA,25,017,00606935,Middlesex
NY,36,119,00974157,Westchester
SD,46,093,01266991,Meade
WV,54,107,01560558,Wood
IA,19,021,00465200,Buena Vista
TN,47,021,01639731,Cheatham
AR,05,019,00066845,Clark
VA,51,105,01496538,Lee
MN,27,013,00659452,Blue Earth
WY,56,033,01605081,Sheridan
LA,22,087,01629542,St. Bernard
IA,19,015,00465197,Boone
OH,39,035,01074030,Cuyahoga
SC,45,027,01247990,Clarendon
OR,41,035,01155134,Klamath
SC,45,015,01247985,Berkeley
MA,25,005,00606929,Bristol
MA,25,015,00606934,Hampshire
UT,49,025,01448026,Kane
NC,37,127,01008574,Nash
RI,44,007,01219781,Providence
PA,42,111,01209188,Somerset
SC,45,059,01248009,Laurens
TX,48,057,01383814,Calhoun
UT,49,017,01448023,Garfield
TX,48,341,01383956,Moore
MN,27,167,00659528,Wilkin
TX,48,185,01383878,Grimes
AR,05,073,00066864,Lafayette
UT,49,047,01448037,Uintah
WA,53,043,01514052,Lincoln
MA,25,025,00606939,Suffolk
NY,36,025,00974111,Delaware
CA,06,059,00277294,Orange
NY,36,115,00974155,Washington
NC,37,043,01008546,Clay
CA,06,111,00277320,Ventura
SD,46,127,01265763,Union
GA,13,021,01672039,Bibb
OR,41,051,01135861,Multnomah
TX,48,035,01383803,Bosque
IL,17,017,00424210,Cass
GA,13,049,00357747,Charlton
MO,29,033,00758471,Carroll
NE,31,157,00835900,Scotts Bluff
MI,26,119,01623002,Montmorency
CT,09,011,00212799,New London
GA,13,283,00347505,Treutlen
NC,37,119,01008570,Mecklenburg
WV,54,043,01550028,Lincoln
SC,45,035,01247998,Dorchester
NJ,34,041,00882237,Warren
FL,12,095,00295750,Orange
TN,47,001,01639722,Anderson
AR,05,021,00063759,Clay
MD,24,047,01668802,Worcester
MN,27,145,00659517,Stearns
TX,48,471,01384021,Walker
MD,24,003,01710958,Anne Arundel
