state_code,year,population,ef_overall,ef_government_spending,ef_taxation,ef_regulation,bea_pce_total,bea_pce_durable_goods,bea_pce_nondurable_goods,bea_pce_services,bea_pce_npish
AL,2020,5031362,6.47,5.67,7.15,6.6,175483843836.0,21368194414.0,44693588646.0,106156706838.0,3260322576.0
AL,2021,5049846,6.4,5.28,6.95,6.96,197822667204.0,26188501356.0,50942846448.0,118226994552.0,2454225156.0
AL,2022,5074296,,,,,215104481736.0,27908628000.0,55654878528.0,128364465912.0,3176509296.0
AK,2020,732923,5.25,2.81,8.22,4.71,35005868326.0,4342568775.0,6381560561.0,22242747204.0,2038991786.0
AK,2021,734182,5.42,2.9,8.42,4.95,39632612724.0,5215628928.0,6940956628.0,25408570656.0,2067456512.0
AK,2022,733583,,,,,43412708357.0,5495270253.0,7527295163.0,28095495317.0,2295381207.0
AZ,2020,7179943,5.97,5.22,7.18,5.51,291541585515.0,37823939724.0,64432808482.0,183921419888.0,5370597364.0
AZ,2021,7264877,5.99,5.21,7.0,5.76,334351434171.0,47301614147.0,73077397743.0,209272046862.0,4700375419.0
AZ,2022,7359197,,,,,368865031231.0,50160286752.0,82099201732.0,230659311571.0,5946231176.0
AR,2020,3014195,6.27,6.78,6.35,5.68,105433526905.0,12614406075.0,25355408340.0,63442776360.0,4020936130.0
AR,2021,3028122,6.01,6.09,6.33,5.61,118796254182.0,15249622392.0,29166871104.0,70476511428.0,3903249258.0
AR,2022,3045637,,,,,128662935065.0,15873860044.0,31948732130.0,76463762522.0,4376580369.0
CA,2020,39501653,4.61,3.65,4.7,5.49,1885018881160.0,188027868280.0,367681386124.0,1260971767066.0,68337859690.0
CA,2021,39142991,4.27,3.57,3.86,5.38,2146523340458.0,235366804883.0,422705159809.0,1421438575174.0,67012800592.0
CA,2022,39029342,,,,,2352376501024.0,251778285242.0,470693864520.0,1551845667262.0,78058684000.0
CO,2020,5784865,6.57,6.98,6.44,6.29,273942282075.0,35339740285.0,58340363525.0,173488101350.0,6768292050.0
CO,2021,5811297,6.6,7.03,6.26,6.51,314542261422.0,42614240901.0,66045390405.0,199583184168.0,6299445948.0
CO,2022,5839926,,,,,346722246546.0,45720780654.0,73553867970.0,219797294862.0,7650303060.0
CT,2020,3597362,6.22,7.41,5.3,5.95,184318036794.0,18753048106.0,36243422150.0,120094333008.0,9227233530.0
CT,2021,3623355,6.18,7.48,5.04,6.01,204252144705.0,22392333900.0,40530849030.0,132622039710.0,8706922065.0
CT,2022,3626205,,,,,219069922665.0,23468798760.0,43681265430.0,142397444145.0,9522414330.0
DE,2020,992114,5.23,4.11,5.01,6.58,44676877648.0,5237369806.0,9251463050.0,28800077306.0,1387967486.0
DE,2021,1004807,5.06,3.92,4.57,6.68,50943714900.0,6383538871.0,10698180129.0,32534645853.0,1327350047.0
DE,2022,1018396,,,,,55535170672.0,6737707936.0,11726829940.0,35587848220.0,1482784576.0
DC,2020,670868,,,,,46913128372.0,4649115240.0,9241877568.0,31601237140.0,1420898424.0
DC,2021,668791,,,,,52904712055.0,5546952554.0,10251897239.0,35631846898.0,1474015364.0
DC,2022,671803,,,,,57595014796.0,5861481175.0,11257402871.0,38607174804.0,1869627749.0
FL,2020,21589602,7.97,8.58,7.83,7.51,964083677310.0,122413043340.0,198516390390.0,635597882880.0,7534771098.0
FL,2021,21828069,7.8,8.33,7.87,7.21,1114060985622.0,155459507418.0,228539882430.0,724997483766.0,5064112008.0
FL,2022,22244823,,,,,1234943593668.0,167080865553.0,257528315871.0,802993620654.0,7340791590.0
GA,2020,10729828,7.33,7.12,6.95,7.92,412229261932.0,50129756416.0,99283098484.0,258138202024.0,4678205008.0
GA,2021,10788029,7.31,6.95,6.83,8.16,471231894749.0,62570568200.0,114612020096.0,290963930159.0,3074588265.0
GA,2022,10912876,,,,,517335799656.0,67594353944.0,127484217432.0,317750210492.0,4507017788.0
